ID;Bezeichnung;Quelle;Reifegrad;IoT;Cyber Physical System;Cloud Computing;Machine Learning;DLT (Distributed Ledger);Mobile based systems;Anbieter;Technologie;Maturity Index;Strategische Ziele;Branche;Funktion;SCOR1;Unterprozess
175;Roboter helfen den Arbeitern beim Transport von Paketen in den Warenhaeusern von DHL;https://inmotion.dhl/en/esports/article/dhl-employs-robot-as-picker-s-best-companion;Pilotanwendung;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;Effidence (https://www.effidence.com/);Kollaborierende Roboter;Konnektivitaet;Ergonomie;Logistik & Post;Transport;Deliver;Deliver8-11:
175;Roboter helfen den Arbeitern beim Transport von Paketen in den Warenhaeusern von DHL;https://inmotion.dhl/en/esports/article/dhl-employs-robot-as-picker-s-best-companion;Pilotanwendung;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;Effidence (https://www.effidence.com/);Kollaborierende Roboter;Konnektivitaet;Prozessdauer;Logistik & Post;Transport;Deliver;Deliver8-11:
176;Wandelbares. autonomes Flurfoerderfahrzeug von Still. Vereint alle Funktionen herkoemmlicher Flurfoerderfahrzeuge;https://www.still.de/loesungskompetenz/innovationen-made-by-still/cubexx.html;Etabliert;WAHR;WAHR;WAHR;FALSCH;FALSCH;FALSCH;Eigenentwicklung in Zusammenarbeit mit  Sick AG. Frauenhofer IML und SAP SE;Smarte Maschinen;Computerisierung;Ordnung & Sauberkeit;Mehrere Branchen moeglich;Transport;Source;Source4-6:
177;Autonomer Bodenroller von Bosch soll den manuellen Transportaufwand reduzieren und die bisher notwendigen Bereitstellungsflaechen sowie die darin vorhandenen Bestaende (Kapitalbindung) reduzieren.;https://www.plattform-i40.de/PI40/Redaktion/DE/Anwendungsbeispiele/207-autonomer-bodenroller/beitrag-autonomer-bodenroller.html;Prototyp;WAHR;WAHR;WAHR;FALSCH;FALSCH;FALSCH;Bosch (https://www.bosch.de/);Autonome Transportsysteme;Adaptierbarkeit;Kosten;Automobil & -zulieferer;Transport;Make;Make3:
179;Mobile Roboter unterstuetzen Arbeiter in Warenhaeusern und Produktionsstaetten.;https://www.industrial-production.de/mrk---cobots/baer--mobiler-kollaborierender-roboter-aus-dem-baukasten.htm;Etabliert;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;Baer (https://www.baer-automation.de/de/);Kollaborierende Roboter;Computerisierung;Prozessdauer;Mehrere Branchen moeglich;Unterstuetzung der MA;Make;Make4:
179;Mobile Roboter unterstuetzen Arbeiter in Warenhaeusern und Produktionsstaetten.;https://www.industrial-production.de/mrk---cobots/baer--mobiler-kollaborierender-roboter-aus-dem-baukasten.htm;Etabliert;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;Baer (https://www.baer-automation.de/de/);Kollaborierende Roboter;Computerisierung;Kosten;Mehrere Branchen moeglich;Unterstuetzung der MA;Make;Make4:
180;Die Post transportiert Laborproben mit Hilfe von Drohnen im Auftrag vom Universitaetsspital Zuerich.;https://www.post.ch/de/ueber-uns/medien/medienmitteilungen/2018/postdrohne-transportiert-laborproben-zwischen-dem-universitaetsspital-und-der-universitaet-zuerich;Pilotanwendung;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;Matternet (https://mttr.net/);Unbemanntes Luftfahrzeug;Konnektivitaet;Prozessdauer;Gesundheitswesen;Transport;Deliver;Deliver12:
180;Die Post transportiert Laborproben mit Hilfe von Drohnen im Auftrag vom Universitaetsspital Zuerich.;https://www.post.ch/de/ueber-uns/medien/medienmitteilungen/2018/postdrohne-transportiert-laborproben-zwischen-dem-universitaetsspital-und-der-universitaet-zuerich;Pilotanwendung;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;Matternet (https://mttr.net/);Unbemanntes Luftfahrzeug;Konnektivitaet;Nachhaltigkeit;Gesundheitswesen;Transport;Deliver;Deliver12:
181;Intralogistikroboter sortieren Waren in Lagerhaeusern in Tijanjin und  Hangzhou;https://mashable.com/2017/09/22/robots-china-factory-tianjin/;Pilotanwendung;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;Sto Express Co. Ltd. (http://www.sto.cn/);Autonome Transportsysteme;Adaptierbarkeit;Prozessdauer;Logistik & Post;Transport;Source;Source4-6:
182;Remote Monitoring Plattform von ABB zur 24/7 Fernueberwachung von Robotern inkl. Wartungskonzepten und Frueherkennung von Fehlern und Ausfaellen;https://library.e.abb.com/public/831702c09aa64567944cddac8e0be58f/Datenblatt_ConnectedServices_lowres.pdf;Nutzung;WAHR;WAHR;WAHR;FALSCH;FALSCH;FALSCH;ABB AG (https://new.abb.com/products/robotics/de/service/connected-services);Proaktive Zustandsueberwachung;Prognosefaehigkeit;Prozessqualitaet;Anlagen- und Maschinenbau;Zustandsbestimmung;Enable;Enable1-2:
183;Smarte Datenbrille "DIWA" von DATAPHONE reduziert Pickzeiten und Fehlerquoten;https://dataphone.ch/de/software/art-3-smarte-datenbrille;Etabliert;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;Dataphone AG (https://dataphone.ch/de/software/art-3-smarte-datenbrille);Smart Wearables;Computerisierung;Prozessqualitaet;Logistik & Post;Unterstuetzung der MA;Deliver;Deliver8-11:
183;Smarte Datenbrille "DIWA" von DATAPHONE reduziert Pickzeiten und Fehlerquoten;https://dataphone.ch/de/software/art-3-smarte-datenbrille;Etabliert;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;Dataphone AG (https://dataphone.ch/de/software/art-3-smarte-datenbrille);Smart Wearables;Computerisierung;Prozessdauer;Logistik & Post;Unterstuetzung der MA;Deliver;Deliver8-11:
185;Verbesserung der Kommissionierung durch Beschleunigung des Scannens und der Lokalisierung von Gegenstaenden durch Datenbrillen bei AGCO Fendt;https://www.plattform-i40.de/PI40/Redaktion/DE/Anwendungsbeispiele/470-agco-fendt-ubimax/beitrag-fendt-ubimax.html;Nutzung;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;Ubimax mit Vuzix und Glass (https://www.ubimax.com/de/);Smart Wearables;Konnektivitaet;Ordnung & Sauberkeit;Anlagen- und Maschinenbau;Unterstuetzung der MA;Make;Make3:
185;Verbesserung der Kommissionierung durch Beschleunigung des Scannens und der Lokalisierung von Gegenstaenden durch Datenbrillen bei AGCO Fendt;https://www.plattform-i40.de/PI40/Redaktion/DE/Anwendungsbeispiele/470-agco-fendt-ubimax/beitrag-fendt-ubimax.html;Nutzung;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;Ubimax mit Vuzix und Glass (https://www.ubimax.com/de/);Smart Wearables;Konnektivitaet;Prozessdauer;Anlagen- und Maschinenbau;Unterstuetzung der MA;Make;Make3:
186;Einsatz der Hololens um Reparaturanweisungen und Informationen ins Sichtfeld des Traegers zu projezieren. Nutzung bei Jungheinrich um  Gabelstapler zu reparieren.;https://www.handelszeitung.ch/mixed-reality;Etabliert;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;Microsoft Hololens;Smart Wearables;Transparenz;Sicherheit;Mehrere Branchen moeglich;Unterstuetzung der MA;Return;Make3:
186;Einsatz der Hololens um Reparaturanweisungen und Informationen ins Sichtfeld des Traegers zu projezieren. Nutzung bei Jungheinrich um  Gabelstapler zu reparieren.;https://www.handelszeitung.ch/mixed-reality;Etabliert;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;Microsoft Hololens;Smart Wearables;Transparenz;Prozessqualitaet;Mehrere Branchen moeglich;Unterstuetzung der MA;Return;Make3:
187;Pick-by-Vision Loesung fuer die Intralogistik. Wird von VW verwendet um Abgasanlagen kuenftig genauer zu Kommissionieren und zu Sequenzieren;https://www.plattform-i40.de/PI40/Redaktion/DE/Anwendungsbeispiele/261c-schnellecke-group-ubimax/einsatz-der-pick-by-vision-loesung-xpick.html;Nutzung;WAHR;WAHR;FALSCH;FALSCH;FALSCH;WAHR;Ubimax mit Vuzix und Glass (https://www.ubimax.com/de/);Smart Wearables;Konnektivitaet;Ergonomie;Automobil & -zulieferer;Unterstuetzung der MA;Source;Source4-6:
187;Pick-by-Vision Loesung fuer die Intralogistik. Wird von VW verwendet um Abgasanlagen kuenftig genauer zu Kommissionieren und zu Sequenzieren;https://www.plattform-i40.de/PI40/Redaktion/DE/Anwendungsbeispiele/261c-schnellecke-group-ubimax/einsatz-der-pick-by-vision-loesung-xpick.html;Nutzung;WAHR;WAHR;FALSCH;FALSCH;FALSCH;WAHR;Ubimax mit Vuzix und Glass (https://www.ubimax.com/de/);Smart Wearables;Konnektivitaet;Prozessqualitaet;Automobil & -zulieferer;Unterstuetzung der MA;Source;Source4-6:
188;Picavi Pick-by-Vision - Kommissionierung mit Datenbrille - beim Kosmetikhersteller Dr. Babor im Echtbetrieb;https://www.plattform-i40.de/PI40/Redaktion/DE/Anwendungsbeispiele/339-picavi-gmbh/beitrag-picavi-gmbh.html;Nutzung;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;Picavi GmbH (https://picavi.com/hardware/);Smart Wearables;Konnektivitaet;Prozessqualitaet;Kosmetik. Pflege. Reinigung;Unterstuetzung der MA;Deliver;Deliver8-11:
188;Picavi Pick-by-Vision - Kommissionierung mit Datenbrille - beim Kosmetikhersteller Dr. Babor im Echtbetrieb;https://www.plattform-i40.de/PI40/Redaktion/DE/Anwendungsbeispiele/339-picavi-gmbh/beitrag-picavi-gmbh.html;Nutzung;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;Picavi GmbH (https://picavi.com/hardware/);Smart Wearables;Konnektivitaet;Prozessdauer;Kosmetik. Pflege. Reinigung;Unterstuetzung der MA;Deliver;Deliver8-11:
189;"KapaflexCy": Flexible Steuerung der Mitarbeiterbedarfe durch eine durchgehend vernetzte Produktion und flexible Einbindung der Mitarbeiter.;https://www.kapaflexcy.de/content/dam/kapaflecy/documents/KapaflexCy_Infoblatt01_130129.pdf;Pilotanwendung;WAHR;WAHR;WAHR;FALSCH;FALSCH;WAHR;Eigenentwicklung in Zusammenarbeit mit SAP Deutschland. dem Fraunhofer Institut. Seca. Bruker Optic uvm.;Plattformloesung;Sichtbarkeit;Mitarbeiterzufriedenheit;Automobil & -zulieferer;Planung;Enable;Enable4-7:
189;"KapaflexCy": Flexible Steuerung der Mitarbeiterbedarfe durch eine durchgehend vernetzte Produktion und flexible Einbindung der Mitarbeiter.;https://www.kapaflexcy.de/content/dam/kapaflecy/documents/KapaflexCy_Infoblatt01_130129.pdf;Pilotanwendung;WAHR;WAHR;WAHR;FALSCH;FALSCH;WAHR;Eigenentwicklung in Zusammenarbeit mit SAP Deutschland. dem Fraunhofer Institut. Seca. Bruker Optic uvm.;Plattformloesung;Sichtbarkeit;Unternehmenskommunikation;Automobil & -zulieferer;Planung;Enable;Enable4-7:
190;R.O.S.S. - Remote on-site Service System von Kieback&Peter ist ein Remote Wartungs- und Stoerfallservice der Anlagentechniker mit smarten Datenbrillen zu entsprechenden Anlagen schickt und mithilfe eines Experten aus der Ferne die Wartung durchfuehren kann;https://www.plattform-i40.de/PI40/Redaktion/DE/Anwendungsbeispiele/472-kieback-peter-ross/beitrag-kieback-peter-ross.html;Pilotanwendung;WAHR;WAHR;FALSCH;FALSCH;FALSCH;WAHR;Ubimax mit Vuzix und Glass (https://www.ubimax.com/de/);Smart Wearables;Konnektivitaet;Ergonomie;Immobilien. Facility Mg;Unterstuetzung der MA;Return;Return1-2:
190;R.O.S.S. - Remote on-site Service System von Kieback&Peter ist ein Remote Wartungs- und Stoerfallservice der Anlagentechniker mit smarten Datenbrillen zu entsprechenden Anlagen schickt und mithilfe eines Experten aus der Ferne die Wartung durchfuehren kann;https://www.plattform-i40.de/PI40/Redaktion/DE/Anwendungsbeispiele/472-kieback-peter-ross/beitrag-kieback-peter-ross.html;Pilotanwendung;WAHR;WAHR;FALSCH;FALSCH;FALSCH;WAHR;Ubimax mit Vuzix und Glass (https://www.ubimax.com/de/);Smart Wearables;Konnektivitaet;Produkt- & Dienstleistungseigenschaften;Immobilien. Facility Mg;Unterstuetzung der MA;Return;Return1-2:
191;Gesichtserkennung an Flughaefen zum Boarden von Flugzeugen. Eine Datenbank vergleicht dann live das Foto mit den im Reisepass hinterlegten Daten. Wird von Delta Airlines. JetBlue und Lufthansa verwendet;https://news.delta.com/delta-expands-optional-facial-recognition-boarding-new-airports-more-customers;Pilotanwendung;WAHR;WAHR;FALSCH;WAHR;FALSCH;FALSCH;Eigenentwicklung;Auto-ID;Computerisierung;Sicherheit;Aerospace & Defence;Verifizierung;Enable;Enable8:
191;Gesichtserkennung an Flughaefen zum Boarden von Flugzeugen. Eine Datenbank vergleicht dann live das Foto mit den im Reisepass hinterlegten Daten. Wird von Delta Airlines. JetBlue und Lufthansa verwendet;https://news.delta.com/delta-expands-optional-facial-recognition-boarding-new-airports-more-customers;Pilotanwendung;WAHR;WAHR;FALSCH;WAHR;FALSCH;FALSCH;Eigenentwicklung;Auto-ID;Computerisierung;Prozessdauer;Aerospace & Defence;Verifizierung;Enable;Enable8:
192;Die digitale "smartPort-logistics-Plattform" der HPA teilt die verkehrsrelevanten Informationen der gesamten Hafenlogistikkette mit allen relevanten Beteiligten und ermoeglicht die Verdopplung des Verkehrsumschlags am Hamburger Hafen.;https://www.plattform-i40.de/PI40/Redaktion/DE/Anwendungsbeispiele/039-hamburg-port-authority-sap-se/beitrag-hamburg-port-authority-sap-se.html;Nutzung;WAHR;WAHR;WAHR;FALSCH;FALSCH;WAHR;Eigenentwicklung in Zusammenarbeit mit SAP und der Deutschen Telekom;PaaS & SaaS (Platform & Software);Prognosefaehigkeit;Umsatz;Logistik & Post;Planung;Plan;Plan3:
192;Die digitale "smartPort-logistics-Plattform" der HPA teilt die verkehrsrelevanten Informationen der gesamten Hafenlogistikkette mit allen relevanten Beteiligten und ermoeglicht die Verdopplung des Verkehrsumschlags am Hamburger Hafen.;https://www.plattform-i40.de/PI40/Redaktion/DE/Anwendungsbeispiele/039-hamburg-port-authority-sap-se/beitrag-hamburg-port-authority-sap-se.html;Nutzung;WAHR;WAHR;WAHR;FALSCH;FALSCH;WAHR;Eigenentwicklung in Zusammenarbeit mit SAP und der Deutschen Telekom;PaaS & SaaS (Platform & Software);Prognosefaehigkeit;Ordnung & Sauberkeit;Logistik & Post;Planung;Plan;Plan3:
193;Aufzeichnung der Herkunft von Diamanten der eigenen Mine auf DLT nach. Entwickelt von De Beers und 5 weiteren Diamanten Verarbeitern;https://www.reuters.com/article/us-anglo-debeers-blockchain/de-beers-tracks-diamonds-through-supply-chain-using-blockchain-idUSKBN1IB1CY;Pilotanwendung;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;tracr (https://www.tracr.com/);Blockchain;Transparenz;Sicherheit;Rohstoffe & Bergbau;Verifizierung;Source;Source1-3:
193;Aufzeichnung der Herkunft von Diamanten der eigenen Mine auf DLT nach. Entwickelt von De Beers und 5 weiteren Diamanten Verarbeitern;https://www.reuters.com/article/us-anglo-debeers-blockchain/de-beers-tracks-diamonds-through-supply-chain-using-blockchain-idUSKBN1IB1CY;Pilotanwendung;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;tracr (https://www.tracr.com/);Blockchain;Transparenz;Produkt- & Dienstleistungseigenschaften;Rohstoffe & Bergbau;Verifizierung;Source;Source1-3:
194;Dezentralisiertes. open-source blockchain Netzwerk. welches den Austausch von Dokumenten und Daten im Bereich Trade Finance fuer Rohstoffe vereinfacht. Entwickelt von ING und 15 Key-Playern aus der Industrie.;https://www.ing.com/Newsroom/All-news/New-era-for-trade-finance.htm;Nutzung;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;Komgo (https://komgo.io/contact);Blockchain;Sichtbarkeit;Prozessdauer;Rohstoffe & Bergbau;Transaktion;Source;Source1-3:
194;Dezentralisiertes. open-source blockchain Netzwerk. welches den Austausch von Dokumenten und Daten im Bereich Trade Finance fuer Rohstoffe vereinfacht. Entwickelt von ING und 15 Key-Playern aus der Industrie.;https://www.ing.com/Newsroom/All-news/New-era-for-trade-finance.htm;Nutzung;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;Komgo (https://komgo.io/contact);Blockchain;Sichtbarkeit;Sicherheit;Rohstoffe & Bergbau;Transaktion;Source;Source1-3:
195;TradeLens: Abwicklung von Smart Contracts in kommerziellen Frachtschifffahrt. Vereinfachter und gesicherter Austausch von Daten und Dokument. Entwickelt von Maersk und IBM;https://newsroom.ibm.com/2018-08-09-Maersk-and-IBM-Introduce-TradeLens-Blockchain-Shipping-Solution;Nutzung;WAHR;FALSCH;WAHR;FALSCH;WAHR;FALSCH;tradelens (https://www.tradelens.com/);Blockchain;Sichtbarkeit;Kundenbeziehung;Logistik & Post;Verifizierung;Enable;Enable3:
195;TradeLens: Abwicklung von Smart Contracts in kommerziellen Frachtschifffahrt. Vereinfachter und gesicherter Austausch von Daten und Dokument. Entwickelt von Maersk und IBM;https://newsroom.ibm.com/2018-08-09-Maersk-and-IBM-Introduce-TradeLens-Blockchain-Shipping-Solution;Nutzung;WAHR;FALSCH;WAHR;FALSCH;WAHR;FALSCH;tradelens (https://www.tradelens.com/);Blockchain;Sichtbarkeit;Sicherheit;Logistik & Post;Verifizierung;Enable;Enable3:
196;Echtzeit-Tracking von Waren in grossen Fabriken von BMW ermoeglicht durch an der Ware befestigte Sensoren und einer Tracking Software;https://www.automotivelogistics.media/20776.article;Pilotanwendung;WAHR;WAHR;WAHR;FALSCH;FALSCH;FALSCH;Blik (https://techcrunch.com/2017/12/04/blik-brings-warehouse-logistics-into-the-21st-century/);Ortsbestimmungs Sensorik;Sichtbarkeit;Ordnung & Sauberkeit;Automobil & -zulieferer;Oertliche (Rueck-) Verfolgung;Make;Make4:
197;Echtzeit-Tracking von Waren waehrend Lieferungen bei Nestle Ecuador ermoeglicht durch an der Ware befestigte Sensoren und einer Tracking Software;https://www.automotivelogistics.media/20776.article;Nutzung;FALSCH;WAHR;WAHR;FALSCH;FALSCH;FALSCH;Arviem (https://arviem.com/de/);Ortsbestimmungs Sensorik;Sichtbarkeit;Prozessdauer;Nahrung & Getraenke;Oertliche (Rueck-) Verfolgung;Deliver;Deliver12:
198;Temperatur Monitoring waehrend der Lieferung in der Pharma Industrie mit Hilfe eines Sensors. welcher der Sendung beigelegt wird. Vertrauen wird durch ein Blockchain System geschaffen.;https://www.post.ch/de/pakete-versenden/pakete-inland/thermomonitoring;Nutzung;WAHR;WAHR;WAHR;FALSCH;WAHR;FALSCH;Modum (https://modum.io/);Smarte Sensoren;Sichtbarkeit;Prozessqualitaet;Pharma;Datenerfassung;Deliver;Deliver12:
198;Temperatur Monitoring waehrend der Lieferung in der Pharma Industrie mit Hilfe eines Sensors. welcher der Sendung beigelegt wird. Vertrauen wird durch ein Blockchain System geschaffen.;https://www.post.ch/de/pakete-versenden/pakete-inland/thermomonitoring;Nutzung;WAHR;WAHR;WAHR;FALSCH;WAHR;FALSCH;Modum (https://modum.io/);Smarte Sensoren;Sichtbarkeit;Produkt- & Dienstleistungseigenschaften;Pharma;Datenerfassung;Deliver;Deliver12:
199;Das Maschinenbauunternehmen EMAG nutzt Pay-per-Use-Kredite um die eigenen Maschinen zu finanzieren. Mittels IOT wird der Auslastungsgrad ueberwacht. an welchen sich die Tilgungshoehe des Kredites anpasst.;https://www.commerzbank.de/de/hauptnavigation/presse/pressemitteilungen/archiv1/2018/quartal_18_02/presse_archiv_detail_18_02_75466.html;Pilotanwendung;WAHR;WAHR;WAHR;FALSCH;FALSCH;FALSCH;Commerzbank (https://www.commerzbank.com/en/hauptnavigation/presse/pressemitteilungen/archiv1/2018/quartal_18_02/presse_archiv_detail_18_02_75466.html);IaaS (Infrastruktur im Allgemeinen);Konnektivitaet;Umsatz;Werkzeugmaschinen;Datenerfassung;Enable;Enable4-7:
199;Das Maschinenbauunternehmen EMAG nutzt Pay-per-Use-Kredite um die eigenen Maschinen zu finanzieren. Mittels IOT wird der Auslastungsgrad ueberwacht. an welchen sich die Tilgungshoehe des Kredites anpasst.;https://www.commerzbank.de/de/hauptnavigation/presse/pressemitteilungen/archiv1/2018/quartal_18_02/presse_archiv_detail_18_02_75466.html;Pilotanwendung;WAHR;WAHR;WAHR;FALSCH;FALSCH;FALSCH;Commerzbank (https://www.commerzbank.com/en/hauptnavigation/presse/pressemitteilungen/archiv1/2018/quartal_18_02/presse_archiv_detail_18_02_75466.html);IaaS (Infrastruktur im Allgemeinen);Konnektivitaet;Produkt- & Dienstleistungseigenschaften;Werkzeugmaschinen;Datenerfassung;Enable;Enable4-7:
200;Automatisierung KANBAN: automat. Bestellung von Schrauben (wenn Behaelter leer & finanz. Mittel vorhanden);https://www.wuerth-industrie.com/web/de/wuerthindustrie/cteile_management/kanban/kanban_steuerung/rfid__kanban/rfidkanban.php;Nutzung;WAHR;WAHR;WAHR;FALSCH;FALSCH;FALSCH;Wuerth (https://www.wuerth-industrie.com/web/de/wuerthindustrie/cteile_management/kanban/kanban_steuerung/rfid__kanban/rfidkanban.php);Auto-ID;Konnektivitaet;Ordnung & Sauberkeit;Mehrere Branchen moeglich;Datenerfassung;Source;Source1-3:
201;HELLER4Use – Pay-per-Use im Werkzeugmaschinenbau;https://www.industrie2025.ch/wissen-industrie-40/use-cases/use-cases/heller4use-pay-per-use-im-werkzeugmaschinenbau;Pilotanwendung;WAHR;WAHR;FALSCH;WAHR;FALSCH;WAHR;Eigenentwicklung zusammen mit der FHNW in Brugg Windisch;Proaktive Zustandsueberwachung;Prognosefaehigkeit;Kosten;Werkzeugmaschinen;Datenerfassung;Enable;Enable1-2:
202;Digitale Auskunft ueber Schaltanlagen in Produktionsunternehmen. Mitarbeiter erhalten vor Ort Informationen zu Aenderungen und Ergaenzungen an der Schaltanlage und koennen Ersatzteile bestellen.;https://www.plattform-i40.de/PI40/Redaktion/DE/Anwendungsbeispiele/361-bilfinger-grey-logixs/beitrag-bilfinger-greylogix.html;Pilotanwendung;FALSCH;WAHR;WAHR;FALSCH;FALSCH;WAHR;Bilfinger GreyLogix (https://greylogix.com/);Smart Mobile Applications;Sichtbarkeit;Ergonomie;Anlagen- und Maschinenbau;Unterstuetzung der MA;Enable;Enable3:
202;Digitale Auskunft ueber Schaltanlagen in Produktionsunternehmen. Mitarbeiter erhalten vor Ort Informationen zu Aenderungen und Ergaenzungen an der Schaltanlage und koennen Ersatzteile bestellen.;https://www.plattform-i40.de/PI40/Redaktion/DE/Anwendungsbeispiele/361-bilfinger-grey-logixs/beitrag-bilfinger-greylogix.html;Pilotanwendung;FALSCH;WAHR;WAHR;FALSCH;FALSCH;WAHR;Bilfinger GreyLogix (https://greylogix.com/);Smart Mobile Applications;Sichtbarkeit;Prozessdauer;Anlagen- und Maschinenbau;Unterstuetzung der MA;Enable;Enable3:
